what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1515726872841
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1515726872842
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1515726872843
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1515726872845
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1515726872846
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1515726872847
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1515726872847
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1515726872848
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1515726872849
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1515726872850
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1515726872851
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1515726872851
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1515726872852
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1515726872853
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1515726872854
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1515726872854
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1515726872855
started,bundle,org.tigris.subversion.subclipse.core,1.10.12,"org.tigris.subversion.subclipse.core",1515726872855
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1515726872855
started,bundle,org.tigris.subversion.subclipse.ui,1.10.13,"org.tigris.subversion.subclipse.ui",1515726872857
started,bundle,org.sf.feeling.decompiler,2.9.0.r20160620180,"org.sf.feeling.decompiler",1515726872858
started,bundle,org.sf.feeling.decompiler.cfr,2.9.0.r20160620180,"org.sf.feeling.decompiler.cfr",1515726872859
started,bundle,org.sf.feeling.decompiler.jad,2.9.0.r20160620180,"org.sf.feeling.decompiler.jad",1515726872859
started,bundle,org.sf.feeling.decompiler.jd,2.9.0.r20160620180,"org.sf.feeling.decompiler.jd",1515726872859
started,bundle,org.sf.feeling.decompiler.procyon,2.9.0.r20160620180,"org.sf.feeling.decompiler.procyon",1515726872860
started,bundle,org.sf.feeling.decompiler.update,2.9.0.r20160620180,"org.sf.feeling.decompiler.update",1515726872860
os,sysinfo,,,"win32",1515726872863
arch,sysinfo,,,"x86",1515726872863
ws,sysinfo,,,"win32",1515726872863
locale,sysinfo,,,"zh_CN",1515726872863
processors,sysinfo,,,"4",1515726872864
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1515726872864
java.runtime.version,sysinfo,,,"1.6.0_43-b01",1515726872864
java.specification.name,sysinfo,,,"Java Platform API Specification",1515726872864
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1515726872864
java.specification.version,sysinfo,,,"1.6",1515726872864
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1515726872864
java.version,sysinfo,,,"1.6.0_43",1515726872864
java.vm.info,sysinfo,,,"mixed mode, sharing",1515726872864
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1515726872864
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1515726872864
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1515726872864
java.vm.specification.version,sysinfo,,,"1.0",1515726872864
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1515726872864
java.vm.version,sysinfo,,,"20.14-b01",1515726872864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515726872890
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1515726873324
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1515726873334
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1515726873339
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1515726873370
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1515726873381
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1515726873392
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1515726873394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515726873858
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1515726873877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515726874268
error,log,,,"",1515726874314
error,log,,,"",1515726875341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1515726875347
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1515726880761
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1515726880769
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1515726880776
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1515726880833
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1515726880835
