what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1513213893294
ws,sysinfo,,,"win32",1513213893294
locale,sysinfo,,,"zh_CN",1513213893294
processors,sysinfo,,,"4",1513213893294
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1513213893294
java.runtime.version,sysinfo,,,"1.6.0_43-b01",1513213893294
java.specification.name,sysinfo,,,"Java Platform API Specification",1513213893294
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1513213893294
java.specification.version,sysinfo,,,"1.6",1513213893294
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1513213893294
java.version,sysinfo,,,"1.6.0_43",1513213893294
java.vm.info,sysinfo,,,"mixed mode, sharing",1513213893294
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1513213893294
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1513213893294
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1513213893294
java.vm.specification.version,sysinfo,,,"1.0",1513213893294
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1513213893294
java.vm.version,sysinfo,,,"20.14-b01",1513213893294
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1513213893298
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1513213893309
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1513213893313
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1513213893365
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1513213893378
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1513213893388
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1513213893392
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1513213893419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513213894495
error,log,,,"",1513213896748
error,log,,,"",1513213898362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513214199610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513214244875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513214246626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513214247577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513214248249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513214248366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513214268062
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1513214292321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1513214293676
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1513214304173
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1513214304599
